Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1856,1,-0.249,,-0.39,-0.381,-0.399
1856,2,-0.247,,-0.39,-0.381,-0.398
1856,3,-0.346,,-0.39,-0.381,-0.398
1856,4,-0.355,,-0.389,-0.381,-0.398
1856,5,-0.325,,-0.389,-0.381,-0.398
1856,6,-0.462,,-0.389,-0.38,-0.397
1856,7,-0.409,,-0.389,-0.38,-0.397
1856,8,-0.392,,-0.388,-0.38,-0.397
1856,9,-0.449,,-0.388,-0.38,-0.397
1856,10,-0.457,,-0.388,-0.379,-0.396
1856,11,-0.38,,-0.388,-0.379,-0.396
1856,12,-0.289,,-0.387,-0.379,-0.396
1857,1,-0.249,,-0.387,-0.379,-0.396
1857,2,-0.284,,-0.387,-0.378,-0.395
1857,3,-0.303,,-0.387,-0.378,-0.395
1857,4,-0.34,,-0.386,-0.378,-0.395
1857,5,-0.294,,-0.386,-0.378,-0.395
1857,6,-0.319,,-0.386,-0.378,-0.394
1857,7,-0.36,,-0.386,-0.377,-0.394
1857,8,-0.356,,-0.385,-0.377,-0.394
1857,9,-0.382,,-0.385,-0.377,-0.394
1857,10,-0.427,,-0.385,-0.377,-0.393
1857,11,-0.34,,-0.385,-0.376,-0.393
1857,12,-0.274,,-0.385,-0.376,-0.393
1858,1,-0.228,,-0.384,-0.376,-0.393
1858,2,-0.272,,-0.384,-0.376,-0.392
1858,3,-0.322,,-0.384,-0.375,-0.392
1858,4,-0.38,,-0.384,-0.375,-0.392
1858,5,-0.358,,-0.383,-0.375,-0.392
1858,6,-0.341,,-0.383,-0.375,-0.391
1858,7,-0.372,,-0.383,-0.375,-0.391
1858,8,-0.444,,-0.383,-0.374,-0.391
1858,9,-0.464,,-0.382,-0.374,-0.391
1858,10,-0.506,,-0.382,-0.374,-0.39
1858,11,-0.365,,-0.382,-0.374,-0.39
1858,12,-0.277,,-0.382,-0.373,-0.39
1859,1,-0.246,,-0.381,-0.373,-0.39
1859,2,-0.256,,-0.381,-0.373,-0.39
1859,3,-0.297,,-0.381,-0.373,-0.389
1859,4,-0.346,,-0.381,-0.372,-0.389
1859,5,-0.309,,-0.38,-0.372,-0.389
1859,6,-0.371,,-0.38,-0.372,-0.389
1859,7,-0.339,,-0.38,-0.372,-0.388
1859,8,-0.343,,-0.38,-0.371,-0.388
1859,9,-0.4,,-0.38,-0.371,-0.388
1859,10,-0.421,,-0.379,-0.371,-0.388
1859,11,-0.356,,-0.379,-0.371,-0.387
1859,12,-0.238,,-0.379,-0.371,-0.387
1860,1,-0.243,,-0.379,-0.37,-0.387
1860,2,-0.253,,-0.378,-0.37,-0.387
1860,3,-0.328,,-0.378,-0.37,-0.386
1860,4,-0.355,,-0.378,-0.37,-0.386
1860,5,-0.343,,-0.378,-0.369,-0.386
1860,6,-0.337,,-0.377,-0.369,-0.386
1860,7,-0.381,,-0.377,-0.369,-0.385
1860,8,-0.392,,-0.377,-0.369,-0.385
1860,9,-0.437,,-0.377,-0.368,-0.385
1860,10,-0.445,,-0.376,-0.368,-0.385
1860,11,-0.398,,-0.376,-0.368,-0.384
1860,12,-0.296,,-0.376,-0.368,-0.384
1861,1,,,-0.376,-0.368,-0.384
1861,2,,,-0.375,-0.367,-0.384
1861,3,,,-0.375,-0.367,-0.383
1861,4,,,-0.375,-0.367,-0.383
1861,5,,,-0.375,-0.367,-0.383
1861,6,,,-0.375,-0.366,-0.383
1861,7,,,-0.374,-0.366,-0.382
1861,8,,,-0.374,-0.366,-0.382
1861,9,,,-0.374,-0.366,-0.382
1861,10,,,-0.374,-0.365,-0.382
1861,11,,,-0.373,-0.365,-0.381
1861,12,,,-0.373,-0.365,-0.381
1862,1,-0.295,,-0.373,-0.365,-0.381
1862,2,-0.305,,-0.373,-0.365,-0.381
1862,3,-0.313,,-0.372,-0.364,-0.38
1862,4,-0.343,,-0.372,-0.364,-0.38
1862,5,-0.312,,-0.372,-0.364,-0.38
1862,6,-0.35,,-0.372,-0.364,-0.38
1862,7,-0.336,,-0.371,-0.363,-0.379
1862,8,-0.395,,-0.371,-0.363,-0.379
1862,9,-0.443,,-0.371,-0.363,-0.379
1862,10,-0.488,,-0.371,-0.363,-0.379
1862,11,-0.365,,-0.37,-0.362,-0.378
1862,12,-0.283,,-0.37,-0.362,-0.378
1863,1,-0.313,,-0.37,-0.362,-0.378
1863,2,-0.348,,-0.37,-0.362,-0.378
1863,3,-0.355,,-0.369,-0.361,-0.377
1863,4,-0.325,,-0.369,-0.361,-0.377
1863,5,-0.3,,-0.369,-0.361,-0.377
1863,6,-0.371,,-0.369,-0.361,-0.377
1863,7,-0.336,,-0.369,-0.361,-0.377
1863,8,-0.38,,-0.368,-0.36,-0.376
1863,9,-0.379,,-0.368,-0.36,-0.376
1863,10,-0.317,,-0.368,-0.36,-0.376
1863,11,-0.389,,-0.368,-0.36,-0.376
1863,12,-0.414,,-0.367,-0.359,-0.375
1864,1,-0.499,,-0.367,-0.359,-0.375
1864,2,-0.412,,-0.367,-0.359,-0.375
1864,3,-0.279,,-0.367,-0.359,-0.375
1864,4,-0.2,,-0.366,-0.358,-0.374
1864,5,-0.3,,-0.366,-0.358,-0.374
1864,6,-0.441,,-0.366,-0.358,-0.374
1864,7,-0.393,,-0.366,-0.358,-0.374
1864,8,-0.349,,-0.365,-0.358,-0.373
1864,9,-0.339,,-0.365,-0.357,-0.373
1864,10,-0.229,,-0.365,-0.357,-0.373
1864,11,-0.377,,-0.365,-0.357,-0.373
1864,12,-0.35,,-0.364,-0.357,-0.372
1865,1,-0.396,,-0.364,-0.356,-0.372
1865,2,-0.305,,-0.364,-0.356,-0.372
1865,3,-0.377,,-0.364,-0.356,-0.372
1865,4,-0.413,,-0.364,-0.356,-0.371
1865,5,-0.306,,-0.363,-0.355,-0.371
1865,6,-0.362,,-0.363,-0.355,-0.371
1865,7,-0.546,,-0.363,-0.355,-0.371
1865,8,-0.423,,-0.363,-0.355,-0.37
1865,9,-0.4,,-0.362,-0.355,-0.37
1865,10,-0.415,,-0.362,-0.354,-0.37
1865,11,-0.362,,-0.362,-0.354,-0.37
1865,12,-0.332,,-0.362,-0.354,-0.369
1866,1,-0.347,,-0.361,-0.354,-0.369
1866,2,-0.436,,-0.361,-0.353,-0.369
1866,3,-0.474,,-0.361,-0.353,-0.369
1866,4,-0.422,,-0.361,-0.353,-0.368
1866,5,-0.376,,-0.36,-0.353,-0.368
1866,6,-0.362,,-0.36,-0.352,-0.368
1866,7,-0.345,,-0.36,-0.352,-0.368
1866,8,-0.368,,-0.36,-0.352,-0.367
1866,9,-0.379,,-0.359,-0.352,-0.367
1866,10,-0.25,,-0.359,-0.351,-0.367
1866,11,-0.337,,-0.359,-0.351,-0.367
1866,12,-0.399,,-0.359,-0.351,-0.366
1867,1,-0.237,,-0.358,-0.351,-0.366
1867,2,-0.375,,-0.358,-0.351,-0.366
1867,3,-0.242,,-0.358,-0.35,-0.366
1867,4,-0.392,,-0.358,-0.35,-0.365
1867,5,-0.337,,-0.358,-0.35,-0.365
1867,6,-0.362,,-0.357,-0.35,-0.365
1867,7,-0.204,,-0.357,-0.349,-0.365
1867,8,-0.374,,-0.357,-0.349,-0.365
1867,9,-0.376,,-0.357,-0.349,-0.364
1867,10,-0.341,,-0.356,-0.349,-0.364
1867,11,-0.389,,-0.356,-0.348,-0.364
1867,12,-0.356,,-0.356,-0.348,-0.364
1868,1,-0.335,,-0.356,-0.348,-0.363
1868,2,-0.421,,-0.355,-0.348,-0.363
1868,3,-0.398,,-0.355,-0.348,-0.363
1868,4,-0.304,,-0.355,-0.347,-0.363
1868,5,-0.114,,-0.355,-0.347,-0.362
1868,6,-0.31,,-0.354,-0.347,-0.362
1868,7,-0.296,,-0.354,-0.347,-0.362
1868,8,-0.398,,-0.354,-0.346,-0.362
1868,9,-0.297,,-0.354,-0.346,-0.361
1868,10,-0.326,,-0.353,-0.346,-0.361
1868,11,-0.298,,-0.353,-0.346,-0.361
1868,12,-0.411,,-0.353,-0.345,-0.361
1869,1,-0.313,,-0.353,-0.345,-0.36
1869,2,-0.369,,-0.353,-0.345,-0.36
1869,3,-0.401,,-0.352,-0.345,-0.36
1869,4,-0.374,,-0.352,-0.344,-0.36
1869,5,-0.309,,-0.352,-0.344,-0.359
1869,6,-0.392,,-0.352,-0.344,-0.359
1869,7,-0.369,,-0.351,-0.344,-0.359
1869,8,-0.374,,-0.351,-0.344,-0.359
1869,9,-0.37,,-0.351,-0.343,-0.358
1869,10,-0.341,,-0.351,-0.343,-0.358
1869,11,-0.368,,-0.35,-0.343,-0.358
1869,12,-0.289,,-0.35,-0.343,-0.358
1870,1,-0.328,,-0.35,-0.342,-0.357
1870,2,-0.217,,-0.35,-0.342,-0.357
1870,3,-0.194,,-0.349,-0.342,-0.357
1870,4,-0.179,,-0.349,-0.342,-0.357
1870,5,-0.279,,-0.349,-0.341,-0.356
1870,6,-0.313,,-0.349,-0.341,-0.356
1870,7,-0.311,,-0.348,-0.341,-0.356
1870,8,-0.307,,-0.348,-0.341,-0.356
1870,9,-0.315,,-0.348,-0.341,-0.355
1870,10,-0.311,,-0.348,-0.34,-0.355
1870,11,-0.392,,-0.348,-0.34,-0.355
1870,12,-0.35,,-0.347,-0.34,-0.355
1871,1,-0.353,,-0.347,-0.34,-0.354
1871,2,-0.351,,-0.347,-0.339,-0.354
1871,3,-0.291,,-0.347,-0.339,-0.354
1871,4,-0.267,,-0.346,-0.339,-0.354
1871,5,-0.364,,-0.346,-0.339,-0.353
1871,6,-0.328,,-0.346,-0.338,-0.353
1871,7,-0.332,,-0.346,-0.338,-0.353
1871,8,-0.356,,-0.345,-0.338,-0.353
1871,9,-0.351,,-0.345,-0.338,-0.352
1871,10,-0.433,,-0.345,-0.338,-0.352
1871,11,-0.343,,-0.345,-0.337,-0.352
1871,12,-0.491,,-0.344,-0.337,-0.352
1872,1,-0.365,,-0.344,-0.337,-0.352
1872,2,-0.284,,-0.344,-0.337,-0.351
1872,3,-0.404,,-0.344,-0.336,-0.351
1872,4,-0.401,,-0.343,-0.336,-0.351
1872,5,-0.416,,-0.343,-0.336,-0.351
1872,6,-0.344,,-0.343,-0.336,-0.35
1872,7,-0.339,,-0.343,-0.335,-0.35
1872,8,-0.362,,-0.342,-0.335,-0.35
1872,9,-0.428,,-0.342,-0.335,-0.35
1872,10,-0.317,,-0.342,-0.335,-0.349
1872,11,-0.337,,-0.342,-0.334,-0.349
1872,12,-0.289,,-0.342,-0.334,-0.349
1873,1,-0.335,,-0.341,-0.334,-0.349
1873,2,-0.32,,-0.341,-0.334,-0.348
1873,3,-0.435,,-0.341,-0.334,-0.348
1873,4,-0.27,,-0.341,-0.333,-0.348
1873,5,-0.309,,-0.34,-0.333,-0.348
1873,6,-0.359,,-0.34,-0.333,-0.347
1873,7,-0.329,,-0.34,-0.333,-0.347
1873,8,-0.325,,-0.34,-0.332,-0.347
1873,9,-0.351,,-0.339,-0.332,-0.347
1873,10,-0.302,,-0.339,-0.332,-0.346
1873,11,-0.407,,-0.339,-0.332,-0.346
1873,12,-0.326,,-0.339,-0.331,-0.346
1874,1,-0.286,,-0.338,-0.331,-0.346
1874,2,-0.326,,-0.338,-0.331,-0.345
1874,3,-0.447,,-0.338,-0.331,-0.345
1874,4,-0.432,,-0.338,-0.331,-0.345
1874,5,-0.358,,-0.337,-0.33,-0.345
1874,6,-0.356,,-0.337,-0.33,-0.344
1874,7,-0.366,,-0.337,-0.33,-0.344
1874,8,-0.346,,-0.337,-0.33,-0.344
1874,9,-0.336,,-0.337,-0.329,-0.344
1874,10,-0.445,,-0.336,-0.329,-0.343
1874,11,-0.444,,-0.336,-0.329,-0.343
1874,12,-0.497,,-0.336,-0.329,-0.343
1875,1,-0.322,,-0.336,-0.328,-0.343
1875,2,-0.455,,-0.335,-0.328,-0.342
1875,3,-0.337,,-0.335,-0.328,-0.342
1875,4,-0.352,,-0.335,-0.328,-0.342
1875,5,-0.425,,-0.335,-0.327,-0.342
1875,6,-0.414,,-0.334,-0.327,-0.341
1875,7,-0.363,,-0.334,-0.327,-0.341
1875,8,-0.328,,-0.334,-0.327,-0.341
1875,9,-0.394,,-0.334,-0.327,-0.341
1875,10,-0.366,,-0.333,-0.326,-0.34
1875,11,-0.371,,-0.333,-0.326,-0.34
1875,12,-0.326,,-0.333,-0.326,-0.34
1876,1,-0.484,,-0.333,-0.326,-0.34
1876,2,-0.384,,-0.332,-0.325,-0.34
1876,3,-0.331,,-0.332,-0.325,-0.339
1876,4,-0.328,,-0.332,-0.325,-0.339
1876,5,-0.379,,-0.332,-0.325,-0.339
1876,6,-0.368,,-0.332,-0.324,-0.339
1876,7,-0.351,,-0.331,-0.324,-0.338
1876,8,-0.343,,-0.331,-0.324,-0.338
1876,9,-0.287,,-0.331,-0.324,-0.338
1876,10,-0.442,,-0.331,-0.324,-0.338
1876,11,-0.16,,-0.33,-0.323,-0.337
1876,12,-0.323,,-0.33,-0.323,-0.337
1877,1,-0.408,,-0.33,-0.323,-0.337
1877,2,-0.339,,-0.33,-0.323,-0.337
1877,3,-0.34,,-0.329,-0.322,-0.336
1877,4,-0.27,,-0.329,-0.322,-0.336
1877,5,-0.315,,-0.329,-0.322,-0.336
1877,6,-0.371,,-0.329,-0.322,-0.336
1877,7,-0.329,,-0.328,-0.321,-0.335
1877,8,-0.27,,-0.328,-0.321,-0.335
1877,9,-0.324,,-0.328,-0.321,-0.335
1877,10,-0.277,,-0.328,-0.321,-0.335
1877,11,-0.231,,-0.327,-0.321,-0.334
1877,12,-0.302,,-0.327,-0.32,-0.334
1878,1,-0.277,,-0.327,-0.32,-0.334
1878,2,-0.134,,-0.327,-0.32,-0.334
1878,3,-0.255,,-0.326,-0.32,-0.333
1878,4,-0.218,,-0.326,-0.319,-0.333
1878,5,-0.245,,-0.326,-0.319,-0.333
1878,6,-0.283,,-0.326,-0.319,-0.333
1878,7,-0.314,,-0.326,-0.319,-0.332
1878,8,-0.276,,-0.325,-0.318,-0.332
1878,9,-0.306,,-0.325,-0.318,-0.332
1878,10,-0.314,,-0.325,-0.318,-0.332
1878,11,-0.362,,-0.325,-0.318,-0.331
1878,12,-0.232,,-0.324,-0.317,-0.331
1879,1,,,-0.324,-0.317,-0.331
1879,2,,,-0.324,-0.317,-0.331
1879,3,,,-0.324,-0.317,-0.33
1879,4,,,-0.323,-0.317,-0.33
1879,5,,,-0.323,-0.316,-0.33
1879,6,,,-0.323,-0.316,-0.33
1879,7,,,-0.323,-0.316,-0.329
1879,8,,,-0.322,-0.316,-0.329
1879,9,,,-0.322,-0.315,-0.329
1879,10,,,-0.322,-0.315,-0.329
1879,11,,,-0.322,-0.315,-0.329
1879,12,,,-0.321,-0.315,-0.328
1880,1,,,-0.321,-0.314,-0.328
1880,2,,,-0.321,-0.314,-0.328
1880,3,,,-0.321,-0.314,-0.328
1880,4,,,-0.321,-0.314,-0.327
1880,5,,,-0.32,-0.314,-0.327
1880,6,,,-0.32,-0.313,-0.327
1880,7,,,-0.32,-0.313,-0.327
1880,8,,,-0.32,-0.313,-0.326
1880,9,,,-0.319,-0.313,-0.326
1880,10,,,-0.319,-0.312,-0.326
1880,11,,,-0.319,-0.312,-0.326
1880,12,,,-0.319,-0.312,-0.325
1881,1,,,-0.318,-0.312,-0.325
1881,2,,,-0.318,-0.311,-0.325
1881,3,,,-0.318,-0.311,-0.325
1881,4,,,-0.318,-0.311,-0.324
1881,5,,,-0.317,-0.311,-0.324
1881,6,,,-0.317,-0.31,-0.324
1881,7,,,-0.317,-0.31,-0.324
1881,8,,,-0.317,-0.31,-0.323
1881,9,,,-0.316,-0.31,-0.323
1881,10,,,-0.316,-0.31,-0.323
1881,11,,,-0.316,-0.309,-0.323
1881,12,,,-0.316,-0.309,-0.322
1882,1,,,-0.315,-0.309,-0.322
1882,2,,,-0.315,-0.309,-0.322
1882,3,,,-0.315,-0.308,-0.322
1882,4,,,-0.315,-0.308,-0.321
1882,5,,,-0.315,-0.308,-0.321
1882,6,,,-0.314,-0.308,-0.321
1882,7,,,-0.314,-0.307,-0.321
1882,8,,,-0.314,-0.307,-0.32
1882,9,,,-0.314,-0.307,-0.32
1882,10,,,-0.313,-0.307,-0.32
1882,11,,,-0.313,-0.307,-0.32
1882,12,,,-0.313,-0.306,-0.319
1883,1,,,-0.313,-0.306,-0.319
1883,2,,,-0.312,-0.306,-0.319
1883,3,,,-0.312,-0.306,-0.319
1883,4,,,-0.312,-0.305,-0.318
1883,5,,,-0.312,-0.305,-0.318
1883,6,,,-0.311,-0.305,-0.318
1883,7,,,-0.311,-0.305,-0.318
1883,8,,,-0.311,-0.304,-0.317
1883,9,,,-0.311,-0.304,-0.317
1883,10,,,-0.31,-0.304,-0.317
1883,11,,,-0.31,-0.304,-0.317
1883,12,,,-0.31,-0.303,-0.317
1884,1,,,-0.31,-0.303,-0.316
1884,2,,,-0.31,-0.303,-0.316
1884,3,,,-0.309,-0.303,-0.316
1884,4,,,-0.309,-0.303,-0.316
1884,5,,,-0.309,-0.302,-0.315
1884,6,,,-0.309,-0.302,-0.315
1884,7,,,-0.308,-0.302,-0.315
1884,8,,,-0.308,-0.302,-0.315
1884,9,,,-0.308,-0.301,-0.314
1884,10,,,-0.308,-0.301,-0.314
1884,11,,,-0.307,-0.301,-0.314
1884,12,,,-0.307,-0.301,-0.314
1885,1,,,-0.307,-0.3,-0.313
1885,2,,,-0.307,-0.3,-0.313
1885,3,,,-0.306,-0.3,-0.313
1885,4,,,-0.306,-0.3,-0.313
1885,5,,,-0.306,-0.3,-0.312
1885,6,,,-0.306,-0.299,-0.312
1885,7,,,-0.305,-0.299,-0.312
1885,8,,,-0.305,-0.299,-0.312
1885,9,,,-0.305,-0.299,-0.311
1885,10,,,-0.305,-0.298,-0.311
1885,11,,,-0.305,-0.298,-0.311
1885,12,,,-0.304,-0.298,-0.311
1886,1,,,-0.304,-0.298,-0.31
1886,2,,,-0.304,-0.297,-0.31
1886,3,,,-0.304,-0.297,-0.31
1886,4,,,-0.303,-0.297,-0.31
1886,5,,,-0.303,-0.297,-0.309
1886,6,,,-0.303,-0.296,-0.309
1886,7,,,-0.303,-0.296,-0.309
1886,8,,,-0.302,-0.296,-0.309
1886,9,,,-0.302,-0.296,-0.308
1886,10,,,-0.302,-0.296,-0.308
1886,11,,,-0.302,-0.295,-0.308
1886,12,,,-0.301,-0.295,-0.308
1887,1,,,-0.301,-0.295,-0.307
1887,2,,,-0.301,-0.295,-0.307
1887,3,,,-0.301,-0.294,-0.307
1887,4,,,-0.3,-0.294,-0.307
1887,5,,,-0.3,-0.294,-0.306
1887,6,,,-0.3,-0.294,-0.306
1887,7,,,-0.3,-0.293,-0.306
1887,8,,,-0.299,-0.293,-0.306
1887,9,,,-0.299,-0.293,-0.306
1887,10,,,-0.299,-0.293,-0.305
1887,11,,,-0.299,-0.293,-0.305
1887,12,,,-0.299,-0.292,-0.305
1888,1,,,-0.298,-0.292,-0.305
1888,2,,,-0.298,-0.292,-0.304
1888,3,,,-0.298,-0.292,-0.304
1888,4,,,-0.298,-0.291,-0.304
1888,5,,,-0.297,-0.291,-0.304
1888,6,,,-0.297,-0.291,-0.303
1888,7,,,-0.297,-0.291,-0.303
1888,8,,,-0.297,-0.29,-0.303
1888,9,,,-0.296,-0.29,-0.303
1888,10,,,-0.296,-0.29,-0.302
1888,11,,,-0.296,-0.29,-0.302
1888,12,,,-0.296,-0.289,-0.302
1889,1,,,-0.295,-0.289,-0.302
1889,2,,,-0.295,-0.289,-0.301
1889,3,,,-0.295,-0.289,-0.301
1889,4,,,-0.295,-0.289,-0.301
1889,5,,,-0.294,-0.288,-0.301
1889,6,,,-0.294,-0.288,-0.3
1889,7,,,-0.294,-0.288,-0.3
1889,8,,,-0.294,-0.288,-0.3
1889,9,,,-0.294,-0.287,-0.3
1889,10,,,-0.293,-0.287,-0.299
1889,11,,,-0.293,-0.287,-0.299
1889,12,,,-0.293,-0.287,-0.299
1890,1,,,-0.293,-0.286,-0.299
1890,2,,,-0.292,-0.286,-0.298
1890,3,,,-0.292,-0.286,-0.298
1890,4,,,-0.292,-0.286,-0.298
1890,5,,,-0.292,-0.286,-0.298
1890,6,,,-0.291,-0.285,-0.297
1890,7,,,-0.291,-0.285,-0.297
1890,8,,,-0.291,-0.285,-0.297
1890,9,,,-0.291,-0.285,-0.297
1890,10,,,-0.29,-0.284,-0.296
1890,11,,,-0.29,-0.284,-0.296
1890,12,,,-0.29,-0.284,-0.296
1891,1,,,-0.29,-0.284,-0.296
1891,2,,,-0.289,-0.283,-0.295
1891,3,,,-0.289,-0.283,-0.295
1891,4,,,-0.289,-0.283,-0.295
1891,5,,,-0.289,-0.283,-0.295
1891,6,,,-0.288,-0.282,-0.295
1891,7,,,-0.288,-0.282,-0.294
1891,8,,,-0.288,-0.282,-0.294
1891,9,,,-0.288,-0.282,-0.294
1891,10,,,-0.288,-0.282,-0.294
1891,11,,,-0.287,-0.281,-0.293
1891,12,,,-0.287,-0.281,-0.293
1892,1,,,-0.287,-0.281,-0.293
1892,2,,,-0.287,-0.281,-0.293
1892,3,,,-0.286,-0.28,-0.292
1892,4,,,-0.286,-0.28,-0.292
1892,5,,,-0.286,-0.28,-0.292
1892,6,,,-0.286,-0.28,-0.292
1892,7,,,-0.285,-0.279,-0.291
1892,8,,,-0.285,-0.279,-0.291
1892,9,,,-0.285,-0.279,-0.291
1892,10,,,-0.285,-0.279,-0.291
1892,11,,,-0.284,-0.279,-0.29
1892,12,,,-0.284,-0.278,-0.29
1893,1,-0.255,,-0.284,-0.278,-0.29
1893,2,-0.372,,-0.284,-0.278,-0.29
1893,3,-0.276,,-0.283,-0.278,-0.289
1893,4,-0.258,,-0.283,-0.277,-0.289
1893,5,-0.264,,-0.283,-0.277,-0.289
1893,6,-0.237,,-0.283,-0.277,-0.289
1893,7,-0.305,,-0.283,-0.277,-0.288
1893,8,-0.246,,-0.282,-0.276,-0.288
1893,9,-0.306,,-0.282,-0.276,-0.288
1893,10,-0.256,,-0.282,-0.276,-0.288
1893,11,-0.273,,-0.282,-0.276,-0.287
1893,12,-0.356,,-0.281,-0.275,-0.287
1894,1,-0.182,,-0.281,-0.275,-0.287
1894,2,-0.266,,-0.281,-0.275,-0.287
1894,3,-0.282,,-0.281,-0.275,-0.286
1894,4,-0.182,,-0.28,-0.275,-0.286
1894,5,-0.245,,-0.28,-0.274,-0.286
1894,6,-0.319,,-0.28,-0.274,-0.286
1894,7,-0.308,,-0.28,-0.274,-0.285
1894,8,-0.295,,-0.279,-0.274,-0.285
1894,9,-0.278,,-0.279,-0.273,-0.285
1894,10,-0.271,,-0.279,-0.273,-0.285
1894,11,-0.389,,-0.279,-0.273,-0.285
1894,12,-0.241,,-0.278,-0.273,-0.284
1895,1,-0.31,,-0.278,-0.272,-0.284
1895,2,-0.384,,-0.278,-0.272,-0.284
1895,3,-0.383,,-0.278,-0.272,-0.284
1895,4,-0.27,,-0.278,-0.272,-0.283
1895,5,-0.315,,-0.277,-0.272,-0.283
1895,6,-0.258,,-0.277,-0.271,-0.283
1895,7,-0.256,,-0.277,-0.271,-0.283
1895,8,-0.307,,-0.277,-0.271,-0.282
1895,9,-0.29,,-0.276,-0.271,-0.282
1895,10,-0.311,,-0.276,-0.27,-0.282
1895,11,-0.285,,-0.276,-0.27,-0.282
1895,12,-0.177,,-0.276,-0.27,-0.281
1896,1,-0.197,,-0.275,-0.27,-0.281
1896,2,-0.311,,-0.275,-0.269,-0.281
1896,3,-0.431,,-0.275,-0.269,-0.281
1896,4,-0.31,,-0.275,-0.269,-0.28
1896,5,-0.254,,-0.274,-0.269,-0.28
1896,6,-0.277,,-0.274,-0.268,-0.28
1896,7,-0.308,,-0.274,-0.268,-0.28
1896,8,-0.282,,-0.274,-0.268,-0.279
1896,9,-0.263,,-0.273,-0.268,-0.279
1896,10,-0.183,,-0.273,-0.268,-0.279
1896,11,-0.255,,-0.273,-0.267,-0.279
1896,12,-0.18,,-0.273,-0.267,-0.278
1897,1,-0.301,,-0.272,-0.267,-0.278
1897,2,-0.147,,-0.272,-0.267,-0.278
1897,3,-0.285,,-0.272,-0.266,-0.278
1897,4,-0.34,,-0.272,-0.266,-0.277
1897,5,-0.27,,-0.272,-0.266,-0.277
1897,6,-0.237,,-0.271,-0.266,-0.277
1897,7,-0.192,,-0.271,-0.265,-0.277
1897,8,-0.215,,-0.271,-0.265,-0.276
1897,9,-0.248,,-0.271,-0.265,-0.276
1897,10,-0.162,,-0.27,-0.265,-0.276
1897,11,-0.316,,-0.27,-0.264,-0.276
